case_name,mass_eV,A_unit,A_unit_abs,Rtau_max_unit,sqrt_Rtau_max_unit,spectrum_ratio_at_peak,sqrt_spectrum_ratio_at_peak,phi_needed,phi_amp_max,ratio_phi_needed_over_phi_amp_max,log10_ratio,L_peak,nphi,Lcut
nphi_1_no_cut,3.4551072945922325e-30,-3750917803.223794,3750917803.223794,1.479532562789092e+19,3846469241.7710714,1.0515972300164098,1.0254741488776837,2.599786810044942e-10,36965.18567966107,7.033068446009168e-15,-14.152855156000578,330,1.0,nan
nphi_1_no_cut,5.878016072274924e-30,5947875631.44551,5947875631.44551,3.720259131841251e+19,6099392700.7869,1.0515972300164098,1.0254741488776837,1.6395074871486585e-10,37669.446172067524,4.35235357498932e-15,-14.361275830812316,330,1.0,nan
nphi_1_no_cut,1e-29,5847092972.245209,5847092972.245209,3.5952527929771483e+19,5996042689.121841,1.0515972300164098,1.0254741488776837,1.667766645181201e-10,37187.67859139466,4.484729104782376e-15,-14.348263784916728,330,1.0,nan
nphi_1_no_cut,1.7012542798525858e-29,3012473655.0639086,3012473655.0639086,9.54324225701852e+18,3089213857.4431067,1.0515972300164098,1.0254741488776837,3.2370695139496883e-10,35814.7948101078,9.038358396614656e-15,-14.043910441652077,330,1.0,nan
nphi_1_no_cut,2.89426612471674e-29,-1429564348.450455,1429564348.450455,2.1491011235521083e+18,1465981283.4931107,1.0515972300164098,1.0254741488776837,6.821369489910677e-10,34853.760775432354,1.9571401588086038e-14,-13.708378071624812,330,1.0,nan
nphi_1_no_cut,4.923882631706752e-29,-1683875599.3636212,1683875599.3636212,2.9817377309793603e+18,1726770897.073309,1.0515972300164098,1.0254741488776837,5.791156207780039e-10,31800.61599838203,1.8210830281006774e-14,-13.739670253093632,330,1.0,nan
nphi_1_no_cut,8.376776400682924e-29,-6996192547.614638,6996192547.614638,5.147222482614087e+19,7174414598.149515,1.0515972300164098,1.0254741488776837,1.3938419453176409e-10,30737.129082981093,4.5347174147419e-15,-14.343449771237193,330,1.0,nan
nphi_1_no_cut,1.4251026703029963e-28,-905708374.6202744,905708374.6202744,8.626332628671793e+17,928780524.5951163,1.0515972300164098,1.0254741488776837,1.0766806296201468e-09,28041.38611178901,3.839612725732893e-14,-13.415712577600964,330,1.0,nan
nphi_1_no_cut,2.4244620170823407e-28,-175776521.27101412,175776521.27101412,3.2491604933083844e+16,180254278.54307327,1.0515972300164098,1.0254741488776837,5.547718523424905e-09,26961.04777718403,2.0576791262985334e-13,-12.686622348010296,330,1.0,nan
nphi_1_no_cut,4.124626382901365e-28,5601892846.67588,5601892846.67588,3.30003866390467e+19,5744596299.048933,1.0515972300164098,1.0254741488776837,1.7407663618861406e-10,25011.876598778217,6.959759116879594e-15,-14.157405791426845,330,1.0,nan
nphi_1_no_cut,7.017038286703837e-28,6999751049.4014,6999751049.4014,5.152459919533971e+19,7178063749.740574,1.0515972300164098,1.0254741488776837,1.3931333502522063e-10,22279.885557159894,6.2528748034996395e-15,-14.203920266776485,330,1.0,nan
nphi_1_no_cut,1.1937766417144358e-27,10127134845.424482,10127134845.424482,1.0785061327620543e+20,10385114986.181204,1.0515972300164098,1.0254741488776837,9.629166372549893e-11,21731.77728516585,4.430915265785822e-15,-14.353506555080893,330,1.0,nan
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,11050048439.7749,1.2840377653538783e+20,11331539018.835342,1.0515972300164098,1.0254741488776837,8.824926590622818e-11,19747.162257012587,4.46895937541047e-15,-14.349793593228487,330,1.0,nan
nphi_1_no_cut,3.455107294592232e-27,-4336727160.012378,4336727160.012378,1.9777602011702903e+19,4447201593.328427,1.0515972300164098,1.0254741488776837,2.248605058741149e-10,17500.35228137274,1.2848913110935198e-14,-13.89113360773247,330,1.0,nan
nphi_1_no_cut,5.878016072274924e-27,13935403275.476799,13935403275.476799,2.0421541249754844e+20,14290395813.186857,1.0515972300164098,1.0254741488776837,6.997706803034962e-11,15748.702119865331,4.443354601397973e-15,-14.352289026555388,330,1.0,nan
nphi_1_no_cut,1e-26,-2632126036.501822,2632126036.501822,7.285557594898971e+18,2699177207.020497,1.0515972300164098,1.0254741488776837,3.7048327075340715e-10,13805.832311163542,2.6835272398161063e-14,-13.57129399193954,330,1.0,nan
nphi_2_Lcut_800,1e-35,-195.4023529707972,195.4023529707972,56349.54980622341,237.38060115818945,1.475811440221917,1.2148297988697498,0.004212644146661353,113801412.34471868,3.7017503209017547e-11,-10.431592877293385,366,2.0,800.0
nphi_2_Lcut_800,1.7012542798525996e-35,-565.5464092138668,565.5464092138668,472027.5762023953,687.0426305567911,1.475811440221917,1.2148297988697498,0.0014555137563874063,66892655.150037825,2.1758947273400066e-11,-10.662362120206069,366,2.0,800.0
