mass_eV,tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,A_tau_eff,max_patchy_budget_fraction,L_at_max_fraction,min_scale_factor_to_fit
1e-26,0.068,19.0,1.0,5.0,0.541,0.07,9.593704306315757,16.121631029241158,591.6716924433363,0.541,2.5e-05,-33906827797664.184,1.2991393319854463e+24,100,7.697403776327222e-25
2.0309176209047306e-27,0.068,19.0,1.0,5.0,0.693,0.07,9.593704306315757,34.138777641498244,279.4099078820883,0.693,2.5e-05,200280650500282.38,3.3407419902885423e+27,100,2.993346995688312e-28
5.878016072274924e-27,0.068,19.0,1.0,5.0,0.693,0.07,9.593704306315757,34.138777641498244,279.4099078820883,0.693,2.5e-05,202027735414180.88,3.399280012909979e+27,100,2.9417994287088533e-28
1e-26,0.068,19.0,1.0,5.0,0.693,0.07,9.593704306315757,34.138777641498244,279.4099078820883,0.693,2.5e-05,-33906827797664.184,9.575010755897488e+25,100,1.0443852497858293e-26
2.0309176209047306e-27,0.068,19.0,1.0,6.0,0.409,0.07,9.593704306315757,11.715156950049437,814.2197971985231,0.409,2.5e-05,200280650500282.38,1.9616419305633218e+22,100,5.097770313835163e-23
5.878016072274924e-27,0.068,19.0,1.0,6.0,0.409,0.07,9.593704306315757,11.715156950049437,814.2197971985231,0.409,2.5e-05,202027735414180.88,1.9960147256011565e+22,100,5.009983078650993e-23
1e-26,0.068,19.0,1.0,6.0,0.409,0.07,9.593704306315757,11.715156950049437,814.2197971985231,0.409,2.5e-05,-33906827797664.184,5.622326608569087e+20,100,1.7786231032467635e-21
2.0309176209047306e-27,0.068,19.0,1.0,6.0,0.541,0.07,9.593704306315757,19.345957235089386,493.0597437027803,0.541,2.5e-05,200280650500282.38,1.2961460955761473e+26,100,7.71517966541798e-27
5.878016072274924e-27,0.068,19.0,1.0,6.0,0.541,0.07,9.593704306315757,19.345957235089386,493.0597437027803,0.541,2.5e-05,202027735414180.88,1.3188577655237477e+26,100,7.582318777210049e-27
1e-26,0.068,19.0,1.0,6.0,0.541,0.07,9.593704306315757,19.345957235089386,493.0597437027803,0.541,2.5e-05,-33906827797664.184,3.7149270558557053e+24,100,2.6918428947985295e-25
2.0309176209047306e-27,0.068,19.0,1.0,6.0,0.693,0.07,9.593704306315757,40.96653316979789,232.84158990174026,0.693,2.5e-05,200280650500282.38,4.7667661044227204e+27,100,2.0978583343373527e-28
5.878016072274924e-27,0.068,19.0,1.0,6.0,0.693,0.07,9.593704306315757,40.96653316979789,232.84158990174026,0.693,2.5e-05,202027735414180.88,4.850291579560563e+27,100,2.0617317198290997e-28
1e-26,0.068,19.0,1.0,6.0,0.693,0.07,9.593704306315757,40.96653316979789,232.84158990174026,0.693,2.5e-05,-33906827797664.184,1.366218548255892e+26,100,7.3194731639136e-27
2.0309176209047306e-27,0.068,19.0,1.0,8.0,0.409,0.07,9.593704306315757,15.620209266732582,610.6648478988924,0.409,2.5e-05,200280650500282.38,5.642075715352838e+23,100,1.7723973417777205e-24
5.878016072274924e-27,0.068,19.0,1.0,8.0,0.409,0.07,9.593704306315757,15.620209266732582,610.6648478988924,0.409,2.5e-05,202027735414180.88,5.740938769374155e+23,100,1.7418753973385685e-24
1e-26,0.068,19.0,1.0,8.0,0.409,0.07,9.593704306315757,15.620209266732582,610.6648478988924,0.409,2.5e-05,-33906827797664.184,1.6170939215639766e+22,100,6.183932712039679e-23
2.0309176209047306e-27,0.068,19.0,1.0,8.0,0.541,0.07,9.593704306315757,25.79460964678585,369.79480777708517,0.541,2.5e-05,200280650500282.38,5.3990397327189606e+26,100,1.852181220189686e-27
5.878016072274924e-27,0.068,19.0,1.0,8.0,0.541,0.07,9.593704306315757,25.79460964678585,369.79480777708517,0.541,2.5e-05,202027735414180.88,5.493644198112183e+26,100,1.820285340546147e-27
1e-26,0.068,19.0,1.0,8.0,0.541,0.07,9.593704306315757,25.79460964678585,369.79480777708517,0.541,2.5e-05,-33906827797664.184,1.5474365773406206e+25,100,6.462300391778064e-26
2.0309176209047306e-27,0.068,19.0,1.0,8.0,0.693,0.07,9.593704306315757,54.622044226397186,174.6311924263052,0.693,2.5e-05,200280650500282.38,7.25574747271216e+27,100,1.3782177560077145e-28
