tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,L,D_shape,C_shape
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,22,1.7339587242794882e-13,2.1531193635669445e-15
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,23,2.8495516183947645e-13,3.243525518251412e-15
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,24,4.555999462084637e-13,4.771031479948048e-15
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,25,7.104678265495542e-13,6.86769385999996e-15
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,26,1.0829463739467996e-12,9.692810178413021e-15
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,27,1.6166084660711043e-12,1.3435781165978956e-14
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,28,2.3674158107799894e-12,1.831885743630231e-14
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,29,3.4061958052099464e-12,2.4599723490427444e-14
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,30,4.821392976175103e-12,3.257387689036803e-14
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,31,6.7220923399847635e-12,4.257676595171039e-14
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,32,9.241308199045761e-12,5.498565520394183e-14
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,33,1.2539528238397346e-11,7.022119392732775e-14
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,34,1.6808499363998988e-11,8.874866910892088e-14
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,35,2.2275238589251496e-11,1.1107893001421011e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,36,2.920624946712989e-11,1.377689771243935e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,37,3.791192211069984e-11,1.694222133519816e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,38,4.8751092761936454e-11,2.0668836015570054e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,39,6.213573716521721e-11,2.5026304538927263e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,40,7.853577067665716e-11,3.0088707341682783e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,41,9.848392708548338e-11,3.5934539120607135e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,42,1.2258068752485232e-10,4.2646576677747734e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,43,1.514992305880935e-10,5.03117198562432e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,44,1.8599037481990387e-10,5.902080759319414e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,45,2.2688748509536304e-10,6.886841124319383e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,46,2.7511131500592066e-10,7.99526074136936e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,47,3.3167475821283897e-10,9.237473260484272e-13
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,48,3.9768748277656877e-10,1.0623912196560253e-12
